timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693993169455,336,1. Получить токен пользователя ,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,1098,312,2,2,null,0,42,271
1693993169476,336,/api/tester/login,201,Created,jp@gc - Ultimate Thread Group 1-5,text,true,,1098,312,2,2,https://testslotegrator.com/api/tester/login,333,0,271
1693993169653,273,1. Получить токен пользователя ,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,1098,312,3,3,null,0,2,213
1693993169654,273,/api/tester/login,201,Created,jp@gc - Ultimate Thread Group 1-4,text,true,,1098,312,3,3,https://testslotegrator.com/api/tester/login,273,0,213
1693993169854,301,1. Получить токен пользователя ,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,1098,312,4,4,null,0,2,241
1693993169855,301,/api/tester/login,201,Created,jp@gc - Ultimate Thread Group 1-3,text,true,,1098,312,4,4,https://testslotegrator.com/api/tester/login,301,0,241
1693993170101,72,/api/automationTask/create (Проверка опредления переменной email),201,Created,jp@gc - Ultimate Thread Group 1-5,text,true,,462,776,4,4,https://testslotegrator.com/api/automationTask/create,72,0,0
1693993170101,77,/api/automationTask/create (Проверка опредления переменной email),201,Created,jp@gc - Ultimate Thread Group 1-4,text,true,,462,776,4,4,https://testslotegrator.com/api/automationTask/create,77,0,0
1693993170158,67,/api/automationTask/create (Проверка опредления переменной email),201,Created,jp@gc - Ultimate Thread Group 1-3,text,true,,462,776,4,4,https://testslotegrator.com/api/automationTask/create,67,0,0
1693993170173,60,3. Запросить данные профиля игрока,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,4541,603,4,4,null,0,0,0
1693993170173,60,/api/automationTask/getOne,201,Created,jp@gc - Ultimate Thread Group 1-5,text,true,,2380,603,4,4,https://testslotegrator.com/api/automationTask/getOne,58,0,0
1693993170232,1,/api/automationTask/getOne-0,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1975,0,4,4,null,0,0,0
1693993170233,0,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,2161,0,4,4,null,0,0,0
1693993170233,0,Debug Sampler-0,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1236,0,4,4,null,0,0,0
1693993170225,75,3. Запросить данные профиля игрока,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,4541,603,5,5,null,0,1,0
1693993170225,75,/api/automationTask/getOne,201,Created,jp@gc - Ultimate Thread Group 1-3,text,true,,2380,603,5,5,https://testslotegrator.com/api/automationTask/getOne,75,0,0
1693993170300,0,/api/automationTask/getOne-0,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1975,0,5,5,null,0,0,0
1693993170301,0,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,2161,0,5,5,null,0,0,0
1693993170301,0,Debug Sampler-0,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1236,0,5,5,null,0,0,0
1693993170178,170,4. Запросить данные всех пользователей и отсортировать их по имени,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,1109,560,5,5,null,0,2,0
1693993170179,170,/api/automationTask/getAll,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,1109,560,4,4,https://testslotegrator.com/api/automationTask/getAll,59,0,0
1693993170348,1,/api/automationTask/getAll-0,,,jp@gc - Ultimate Thread Group 1-4,,true,,424,0,0,0,null,0,0,0
1693993170054,318,1. Получить токен пользователя ,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,1098,312,5,5,null,0,1,259
1693993170054,318,/api/tester/login,201,Created,jp@gc - Ultimate Thread Group 1-2,text,true,,1098,312,5,5,https://testslotegrator.com/api/tester/login,318,0,259
1693993170373,65,/api/automationTask/create (Проверка опредления переменной email),201,Created,jp@gc - Ultimate Thread Group 1-2,text,true,,462,776,5,5,https://testslotegrator.com/api/automationTask/create,65,0,0
1693993170438,60,3. Запросить данные профиля игрока,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,4538,603,5,5,null,0,0,0
1693993170438,60,/api/automationTask/getOne,201,Created,jp@gc - Ultimate Thread Group 1-2,text,true,,2379,603,5,5,https://testslotegrator.com/api/automationTask/getOne,60,0,0
1693993170498,0,/api/automationTask/getOne-0,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1974,0,5,5,null,0,0,0
1693993170498,0,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,2159,0,5,5,null,0,0,0
1693993170498,0,Debug Sampler-0,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1235,0,5,5,null,0,0,0
1693993170253,275,1. Получить токен пользователя ,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,1098,312,5,5,null,0,1,215
1693993170254,275,/api/tester/login,201,Created,jp@gc - Ultimate Thread Group 1-1,text,true,,1098,312,5,5,https://testslotegrator.com/api/tester/login,275,0,215
1693993170234,322,1. Получить токен пользователя ,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-5,,true,,1098,312,5,5,null,0,0,263
1693993170234,322,/api/tester/login,201,Created,jp@gc - Ultimate Thread Group 1-5,text,true,,1098,312,5,5,https://testslotegrator.com/api/tester/login,322,0,263
1693993170529,65,/api/automationTask/create (Проверка опредления переменной email),201,Created,jp@gc - Ultimate Thread Group 1-1,text,true,,462,776,5,5,https://testslotegrator.com/api/automationTask/create,65,0,0
1693993170301,314,1. Получить токен пользователя ,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,1098,312,5,5,null,0,0,255
1693993170301,314,/api/tester/login,201,Created,jp@gc - Ultimate Thread Group 1-3,text,true,,1098,312,5,5,https://testslotegrator.com/api/tester/login,314,0,255
1693993170350,282,1. Получить токен пользователя ,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,1098,312,5,5,null,0,0,222
1693993170350,282,/api/tester/login,201,Created,jp@gc - Ultimate Thread Group 1-4,text,true,,1098,312,5,5,https://testslotegrator.com/api/tester/login,282,0,222
1693993170594,65,2. Регистрация игрока,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,462,776,5,5,null,0,0,0
1693993170594,65,/api/automationTask/create,201,Created,jp@gc - Ultimate Thread Group 1-1,text,true,,462,776,5,5,https://testslotegrator.com/api/automationTask/create,65,0,0
1693993170615,59,3. Запросить данные профиля игрока,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,4541,603,5,5,null,0,1,0
1693993170615,59,/api/automationTask/getOne,201,Created,jp@gc - Ultimate Thread Group 1-3,text,true,,2380,603,5,5,https://testslotegrator.com/api/automationTask/getOne,59,0,0
1693993170674,0,/api/automationTask/getOne-0,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1975,0,5,5,null,0,0,0
1693993170675,0,Debug Sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,2161,0,5,5,null,0,0,0
1693993170675,0,Debug Sampler-0,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1236,0,5,5,null,0,0,0
1693993170632,60,3. Запросить данные профиля игрока,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-4,,true,,4540,603,5,5,null,0,0,0
